Time(s),X(m),Y(m),Theta(rad),Theta(deg)
3.564,1.876824,-0.523988,-0.240235,-13.764
3.586,1.895808,-0.529524,-0.242751,-13.909
3.604,1.914438,-0.535292,-0.245754,-14.081
3.622,1.932895,-0.541050,-0.249542,-14.298
3.646,1.951191,-0.546834,-0.253011,-14.496
3.662,1.969200,-0.552514,-0.256398,-14.691
3.682,1.986985,-0.558216,-0.259110,-14.846
3.700,2.004497,-0.563814,-0.261882,-15.005
3.720,2.021651,-0.569232,-0.264042,-15.128
3.739,2.038798,-0.574652,-0.266967,-15.296
3.762,2.055525,-0.579860,-0.268960,-15.410
3.781,2.072054,-0.585112,-0.271574,-15.560
3.806,2.088162,-0.590333,-0.273964,-15.697
3.829,2.103852,-0.595887,-0.278591,-15.962
3.851,2.118960,-0.601757,-0.284942,-16.326
3.871,2.133245,-0.608186,-0.293631,-16.824
3.893,2.146641,-0.614595,-0.302761,-17.347
3.913,2.159290,-0.620753,-0.310964,-17.817
3.934,2.171110,-0.627229,-0.321328,-18.411
3.953,2.181934,-0.634185,-0.333323,-19.098
3.974,2.191880,-0.641286,-0.346889,-19.875
3.991,2.201037,-0.648529,-0.362321,-20.759
4.015,2.209394,-0.655874,-0.379031,-21.717
4.033,2.216968,-0.663496,-0.396138,-22.697
4.054,2.223896,-0.670966,-0.413708,-23.704
4.080,2.230194,-0.678495,-0.432232,-24.765
4.095,2.235700,-0.685997,-0.451193,-25.851
4.117,2.240446,-0.693425,-0.471146,-26.995
4.139,2.244589,-0.700729,-0.490986,-28.131
4.155,2.247996,-0.708153,-0.511421,-29.302
4.181,2.250798,-0.715003,-0.531535,-30.455
4.196,2.253080,-0.721583,-0.551481,-31.598
4.218,2.255222,-0.727876,-0.569866,-32.651
4.235,2.257282,-0.733542,-0.585953,-33.573
4.257,2.259495,-0.738824,-0.599331,-34.339
4.281,2.262263,-0.743220,-0.608440,-34.861
4.296,2.265542,-0.747473,-0.614981,-35.236
4.322,2.268423,-0.751291,-0.620470,-35.550
4.343,2.271471,-0.754897,-0.625516,-35.839
4.360,2.274268,-0.757931,-0.629824,-36.086
4.382,2.276992,-0.760446,-0.631985,-36.210
4.402,2.279707,-0.762310,-0.631238,-36.167
4.421,2.282728,-0.764131,-0.629782,-36.084
4.445,2.285990,-0.765127,-0.624538,-35.783
4.464,2.289335,-0.766159,-0.619201,-35.478
4.484,2.292807,-0.767591,-0.615207,-35.249
4.508,2.296236,-0.769806,-0.613742,-35.165
4.524,2.300045,-0.771784,-0.611055,-35.011
4.545,2.303830,-0.774007,-0.609356,-34.914
4.564,2.307031,-0.776776,-0.610791,-34.996
4.585,2.310427,-0.779509,-0.611693,-35.047
4.606,2.313944,-0.781993,-0.612064,-35.069
4.624,2.317555,-0.784192,-0.610963,-35.006
4.646,2.320886,-0.786741,-0.611160,-35.017
4.663,2.324322,-0.789083,-0.610630,-34.987
4.685,2.328137,-0.790733,-0.606926,-34.774
4.707,2.332050,-0.792194,-0.602127,-34.499
4.729,2.335797,-0.793672,-0.597855,-34.255
4.747,2.339623,-0.795014,-0.592976,-33.975
4.768,2.343142,-0.796700,-0.590271,-33.820
4.789,2.346434,-0.798633,-0.589209,-33.759
4.811,2.349741,-0.800036,-0.585983,-33.574
4.830,2.352824,-0.800834,-0.581338,-33.308
4.851,2.355710,-0.801643,-0.577393,-33.082
4.870,2.358690,-0.802286,-0.572294,-32.790
4.892,2.361732,-0.802934,-0.567345,-32.506
4.914,2.364835,-0.803471,-0.561866,-32.193
4.933,2.367837,-0.804002,-0.556729,-31.898
4.954,2.370326,-0.804629,-0.553085,-31.689
4.970,2.372587,-0.805005,-0.549344,-31.475
4.991,2.375038,-0.805403,-0.545126,-31.233
5.016,2.377473,-0.805909,-0.541158,-31.006
