Time(s),X(m),Y(m),Theta(rad),Theta(deg)
95.899,9.387771,0.292156,-0.338742,-19.408
95.925,9.395476,0.289910,-0.337718,-19.350
95.950,9.403131,0.287958,-0.334544,-19.168
95.970,9.410989,0.286023,-0.331142,-18.973
95.991,9.418903,0.284100,-0.327955,-18.790
96.014,9.426360,0.281901,-0.327017,-18.737
96.036,9.433671,0.279606,-0.326536,-18.709
96.059,9.440604,0.277054,-0.327066,-18.740
96.077,9.447400,0.274290,-0.329078,-18.855
96.100,9.453862,0.271493,-0.331472,-18.992
96.115,9.460173,0.268359,-0.334935,-19.190
96.137,9.466196,0.264998,-0.339983,-19.480
96.157,9.471754,0.261356,-0.346326,-19.843
96.175,9.477586,0.257840,-0.351596,-20.145
96.196,9.483924,0.255025,-0.352815,-20.215
96.216,9.490331,0.251992,-0.355133,-20.348
96.235,9.496941,0.249277,-0.355525,-20.370
96.256,9.503526,0.246288,-0.357378,-20.476
96.278,9.510065,0.243202,-0.359827,-20.617
96.298,9.516477,0.240307,-0.361581,-20.717
96.316,9.522761,0.237301,-0.363680,-20.837
96.339,9.528888,0.234855,-0.364234,-20.869
96.357,9.534878,0.232272,-0.365904,-20.965
96.377,9.540669,0.229779,-0.366943,-21.024
96.398,9.546812,0.228515,-0.362468,-20.768
96.418,9.553071,0.227343,-0.358099,-20.518
96.440,9.559024,0.226766,-0.351809,-20.157
96.459,9.564596,0.226692,-0.344953,-19.764
96.482,9.569812,0.226724,-0.337634,-19.345
96.500,9.575212,0.226597,-0.330650,-18.945
96.524,9.580569,0.226474,-0.323474,-18.534
96.541,9.585847,0.226468,-0.316662,-18.143
96.564,9.591217,0.226275,-0.310135,-17.769
96.586,9.596438,0.226161,-0.304073,-17.422
96.602,9.601621,0.225808,-0.298750,-17.117
96.623,9.606724,0.225261,-0.294279,-16.861
96.640,9.611951,0.225100,-0.288014,-16.502
96.662,9.617187,0.224750,-0.283023,-16.216
96.684,9.622548,0.224332,-0.278050,-15.931
96.704,9.627823,0.223801,-0.273750,-15.685
96.725,9.633245,0.223128,-0.269804,-15.459
96.743,9.638883,0.222625,-0.265054,-15.187
96.765,9.644669,0.222692,-0.258815,-14.829
96.790,9.650549,0.222728,-0.251736,-14.423
96.807,9.656472,0.222773,-0.244835,-14.028
96.829,9.662560,0.222614,-0.238701,-13.677
96.853,9.668489,0.222136,-0.234180,-13.418
96.870,9.674899,0.221879,-0.229153,-13.129
96.890,9.681540,0.221760,-0.223269,-12.792
96.907,9.688642,0.221626,-0.217213,-12.445
96.928,9.696009,0.221659,-0.210280,-12.048
96.948,9.703642,0.221857,-0.203192,-11.642
96.970,9.711570,0.222221,-0.195518,-11.202
96.989,9.719643,0.222658,-0.186844,-10.705
97.007,9.728057,0.222949,-0.179213,-10.268
97.030,9.736512,0.223506,-0.170957,-9.795
97.052,9.745172,0.223869,-0.163365,-9.360
97.069,9.753830,0.224595,-0.155065,-8.885
97.095,9.762527,0.224824,-0.148376,-8.501
97.111,9.771364,0.225272,-0.141226,-8.092
97.135,9.780363,0.225380,-0.135507,-7.764
97.151,9.789030,0.225730,-0.129700,-7.431
97.170,9.797719,0.225911,-0.124277,-7.121
97.193,9.806349,0.225906,-0.119454,-6.844
97.210,9.814939,0.225992,-0.114462,-6.558
97.231,9.823389,0.225680,-0.111267,-6.375
97.249,9.831845,0.225104,-0.109166,-6.255
97.270,9.840638,0.225138,-0.105002,-6.016
97.294,9.849497,0.225826,-0.098413,-5.639
97.309,9.858373,0.226694,-0.091860,-5.263
97.329,9.867176,0.227123,-0.086345,-4.947
97.348,9.876167,0.227570,-0.081260,-4.656
97.371,9.885016,0.227733,-0.077806,-4.458
97.393,9.894111,0.228047,-0.073770,-4.227
97.412,9.903140,0.228123,-0.070263,-4.026
97.435,9.912091,0.227461,-0.070531,-4.041
97.455,9.920749,0.225632,-0.075171,-4.307
97.478,9.929500,0.223922,-0.079723,-4.568
97.495,9.938376,0.222272,-0.084220,-4.825
97.517,9.947188,0.220270,-0.089428,-5.124
97.537,9.956030,0.218126,-0.094983,-5.442
97.554,9.964826,0.215709,-0.101294,-5.804
97.578,9.973495,0.213154,-0.107977,-6.187
97.598,9.981729,0.211037,-0.113159,-6.484
97.623,9.989789,0.208555,-0.119405,-6.841
97.641,9.997749,0.205907,-0.126408,-7.243
97.661,10.005325,0.202934,-0.134112,-7.684
97.681,10.012569,0.199892,-0.142704,-8.176
97.701,10.019842,0.196639,-0.152287,-8.725
97.722,10.027335,0.193258,-0.161437,-9.250
97.742,10.034579,0.190035,-0.169570,-9.716
97.763,10.041756,0.186704,-0.178039,-10.201
97.779,10.049084,0.183111,-0.187329,-10.733
97.802,10.056348,0.179705,-0.195757,-11.216
97.823,10.063675,0.176079,-0.204752,-11.731
97.839,10.071025,0.172532,-0.213095,-12.209
97.861,10.078094,0.168920,-0.221255,-12.677
97.879,10.085254,0.165255,-0.229525,-13.151
97.901,10.092448,0.161570,-0.237794,-13.625
97.925,10.099562,0.157685,-0.245846,-14.086
97.940,10.106648,0.154009,-0.253823,-14.543
97.964,10.113867,0.150118,-0.261855,-15.003
97.982,10.120739,0.146297,-0.269407,-15.436
98.002,10.127793,0.142473,-0.276712,-15.854
98.024,10.134793,0.138684,-0.283521,-16.245
98.043,10.141700,0.134811,-0.290638,-16.652
98.065,10.148673,0.130999,-0.297291,-17.034
98.086,10.155452,0.127174,-0.303855,-17.410
98.109,10.162249,0.123176,-0.310763,-17.805
98.130,10.168890,0.119386,-0.316988,-18.162
98.147,10.175729,0.115446,-0.323342,-18.526
98.166,10.182243,0.111795,-0.328918,-18.846
98.184,10.188524,0.107946,-0.335401,-19.217
98.205,10.195069,0.104086,-0.341528,-19.568
98.227,10.201431,0.100176,-0.347792,-19.927
98.244,10.207651,0.096310,-0.353887,-20.276
98.265,10.213999,0.092375,-0.359542,-20.600
98.285,10.220280,0.088476,-0.365094,-20.918
98.305,10.226411,0.084754,-0.370181,-21.210
98.327,10.232600,0.080779,-0.375792,-21.531
98.348,10.238605,0.077040,-0.381059,-21.833
98.370,10.244674,0.073245,-0.385962,-22.114
98.391,10.250470,0.069436,-0.391258,-22.417
98.412,10.256241,0.065550,-0.396626,-22.725
98.431,10.262044,0.061751,-0.402027,-23.034
98.450,10.267700,0.057770,-0.407364,-23.340
98.469,10.273571,0.053568,-0.413408,-23.687
98.495,10.279209,0.049751,-0.418468,-23.976
98.514,10.284794,0.045962,-0.423078,-24.241
98.537,10.290322,0.042581,-0.426044,-24.411
98.559,10.295445,0.039164,-0.430233,-24.651
98.576,10.300659,0.036069,-0.433104,-24.815
98.596,10.306111,0.033842,-0.431523,-24.724
98.617,10.311011,0.030639,-0.434970,-24.922
98.634,10.316208,0.027484,-0.437654,-25.076
98.656,10.321487,0.024827,-0.438800,-25.141
98.677,10.326308,0.021387,-0.443324,-25.401
98.701,10.331564,0.018160,-0.445969,-25.552
98.722,10.337503,0.015889,-0.444172,-25.449
98.742,10.343710,0.013431,-0.442091,-25.330
98.760,10.349821,0.010627,-0.441667,-25.306
98.782,10.355823,0.007758,-0.441752,-25.311
98.800,10.362166,0.004839,-0.441355,-25.288
98.825,10.369153,0.002427,-0.437989,-25.095
98.843,10.375698,-0.000467,-0.437299,-25.055
98.861,10.382143,-0.003529,-0.437055,-25.041
98.888,10.389023,-0.006078,-0.434349,-24.886
98.907,10.395763,-0.008633,-0.432554,-24.784
98.926,10.402288,-0.011459,-0.431913,-24.747
98.950,10.408627,-0.014343,-0.431732,-24.736
98.969,10.414932,-0.016652,-0.429690,-24.619
98.985,10.421319,-0.019095,-0.427671,-24.504
99.007,10.427770,-0.021351,-0.425109,-24.357
99.028,10.433976,-0.024026,-0.424398,-24.316
99.050,10.440127,-0.026594,-0.423060,-24.240
99.070,10.445834,-0.029318,-0.423391,-24.259
99.090,10.450977,-0.032668,-0.427223,-24.478
99.110,10.456217,-0.035968,-0.430353,-24.657
99.128,10.461767,-0.039314,-0.433315,-24.827
99.150,10.467543,-0.042050,-0.433103,-24.815
99.174,10.473088,-0.045170,-0.434453,-24.892
99.191,10.478661,-0.048423,-0.436808,-25.027
99.210,10.484463,-0.050927,-0.435491,-24.952
99.230,10.489920,-0.054021,-0.437332,-25.057
99.251,10.495404,-0.056853,-0.437963,-25.093
99.275,10.500783,-0.059763,-0.439165,-25.162
99.290,10.505823,-0.063375,-0.443736,-25.424
99.315,10.511108,-0.066325,-0.445199,-25.508
99.330,10.515978,-0.069667,-0.448879,-25.719
99.355,10.520801,-0.073352,-0.453917,-26.008
99.372,10.525982,-0.076131,-0.454932,-26.066
99.388,10.530932,-0.079152,-0.456827,-26.174
99.412,10.535535,-0.082706,-0.461665,-26.451
99.430,10.540356,-0.085557,-0.463009,-26.528
99.453,10.544864,-0.088389,-0.464959,-26.640
99.470,10.549142,-0.091649,-0.469259,-26.887
99.493,10.553475,-0.094335,-0.470815,-26.976
99.511,10.557618,-0.096746,-0.472088,-27.049
99.531,10.561406,-0.099417,-0.475080,-27.220
99.550,10.565410,-0.101729,-0.476068,-27.277
99.568,10.569380,-0.103381,-0.474473,-27.185
99.587,10.572884,-0.104748,-0.473671,-27.139
99.607,10.576456,-0.106207,-0.471897,-27.038
99.629,10.580477,-0.107195,-0.467875,-26.807
99.648,10.584403,-0.108348,-0.464927,-26.638
99.671,10.587623,-0.109135,-0.462337,-26.490
99.695,10.591100,-0.109976,-0.458389,-26.264
99.721,10.595006,-0.110610,-0.453221,-25.968
99.741,10.599248,-0.111512,-0.448401,-25.691
99.764,10.603798,-0.112081,-0.442850,-25.373
99.783,10.608488,-0.112933,-0.437315,-25.056
99.805,10.613388,-0.113581,-0.431523,-24.724
99.826,10.618417,-0.114433,-0.425470,-24.378
99.844,10.623690,-0.115166,-0.419326,-24.026
99.864,10.629168,-0.116171,-0.413471,-23.690
99.886,10.634711,-0.116725,-0.406513,-23.291
99.902,10.640266,-0.117349,-0.399777,-22.906
99.924,10.645968,-0.118249,-0.394045,-22.577
99.945,10.651723,-0.118933,-0.387562,-22.206
99.965,10.657279,-0.119608,-0.381238,-21.843
99.986,10.662593,-0.120344,-0.376049,-21.546
100.001,10.668209,-0.121269,-0.370638,-21.236
100.020,10.673315,-0.122481,-0.367790,-21.073
100.043,10.678107,-0.123789,-0.365445,-20.938
100.063,10.683157,-0.124335,-0.359774,-20.614
100.082,10.688434,-0.124986,-0.354760,-20.326
100.101,10.693655,-0.125723,-0.349762,-20.040
100.123,10.698854,-0.126175,-0.343775,-19.697
100.141,10.703919,-0.127018,-0.339871,-19.473
100.164,10.708392,-0.128379,-0.338583,-19.399
100.186,10.712386,-0.130083,-0.339891,-19.474
100.205,10.716209,-0.132130,-0.342271,-19.611
100.227,10.719835,-0.133764,-0.343561,-19.685
100.250,10.723062,-0.136051,-0.347933,-19.935
100.268,10.726341,-0.138153,-0.351441,-20.136
100.291,10.729847,-0.140339,-0.354793,-20.328
100.312,10.733137,-0.142424,-0.357588,-20.488
100.330,10.736596,-0.144588,-0.361120,-20.691
100.355,10.740290,-0.147072,-0.365473,-20.940
100.378,10.744144,-0.149802,-0.370623,-21.235
100.398,10.748436,-0.152577,-0.374763,-21.472
100.419,10.753174,-0.155185,-0.377827,-21.648
100.435,10.757712,-0.158447,-0.383647,-21.981
100.458,10.762776,-0.161336,-0.386667,-22.154
100.475,10.768426,-0.163368,-0.385776,-22.103
100.497,10.774329,-0.165534,-0.384804,-22.048
100.519,10.779918,-0.168150,-0.385993,-22.116
100.536,10.785514,-0.170472,-0.386376,-22.138
100.557,10.791172,-0.173097,-0.387616,-22.209
100.574,10.797152,-0.175477,-0.387273,-22.189
100.594,10.803640,-0.177265,-0.383989,-22.001
100.614,10.810413,-0.179370,-0.381492,-21.858
100.638,10.817432,-0.181615,-0.379073,-21.719
100.658,10.824181,-0.184560,-0.379817,-21.762
100.675,10.830585,-0.187933,-0.382974,-21.943
100.698,10.837352,-0.190845,-0.383775,-21.989
100.720,10.843842,-0.194434,-0.387820,-22.220
100.738,10.850169,-0.197984,-0.391927,-22.456
100.759,10.856618,-0.201823,-0.396614,-22.724
100.778,10.863346,-0.205438,-0.399332,-22.880
100.799,10.869782,-0.209483,-0.404648,-23.185
100.825,10.876243,-0.213636,-0.409424,-23.458
100.837,10.882902,-0.217511,-0.413593,-23.697
100.860,10.889074,-0.222068,-0.420898,-24.116
100.878,10.895544,-0.226053,-0.425155,-24.360
100.900,10.901634,-0.230407,-0.431462,-24.721
100.922,10.907912,-0.234374,-0.435638,-24.960
100.946,10.914274,-0.238067,-0.438455,-25.122
100.966,10.920123,-0.241965,-0.442783,-25.370
100.983,10.926226,-0.245336,-0.444961,-25.494
101.004,10.932623,-0.248451,-0.445273,-25.512
101.024,10.939028,-0.251406,-0.444839,-25.487
101.046,10.944732,-0.255034,-0.448611,-25.704
101.063,10.950732,-0.258144,-0.449351,-25.746
101.085,10.957057,-0.260908,-0.448767,-25.712
101.108,10.963121,-0.263838,-0.448473,-25.696
101.130,10.968803,-0.266841,-0.449874,-25.776
101.150,10.974295,-0.269769,-0.451495,-25.869
101.170,10.979503,-0.272864,-0.453488,-25.983
101.193,10.984448,-0.276385,-0.457584,-26.218
101.211,10.988875,-0.280136,-0.463546,-26.559
101.236,10.993510,-0.283815,-0.468233,-26.828
101.258,10.998561,-0.287196,-0.471133,-26.994
101.276,11.003626,-0.290003,-0.471644,-27.023
101.297,11.008944,-0.292615,-0.471095,-26.992
101.315,11.014321,-0.294980,-0.469267,-26.887
101.337,11.019475,-0.297451,-0.468127,-26.822
101.359,11.024372,-0.299951,-0.467774,-26.801
101.380,11.028941,-0.302181,-0.466664,-26.738
101.404,11.033145,-0.305215,-0.469834,-26.920
101.420,11.037290,-0.308419,-0.472981,-27.100
101.443,11.041267,-0.311296,-0.475564,-27.248
101.460,11.045557,-0.314230,-0.478342,-27.407
101.481,11.050076,-0.317629,-0.481692,-27.599
101.502,11.054897,-0.320932,-0.484942,-27.785
101.520,11.059974,-0.324376,-0.487924,-27.956
101.541,11.065307,-0.328059,-0.490558,-28.107
101.558,11.070466,-0.331842,-0.494804,-28.350
101.579,11.075687,-0.335618,-0.498827,-28.581
101.602,11.081005,-0.339526,-0.502149,-28.771
101.622,11.086353,-0.343528,-0.506082,-28.996
101.646,11.091709,-0.347422,-0.509880,-29.214
101.664,11.096958,-0.351445,-0.513901,-29.444
101.686,11.102404,-0.355516,-0.517343,-29.642
101.707,11.107728,-0.359722,-0.521859,-29.900
101.723,11.113037,-0.363792,-0.525978,-30.136
101.744,11.118431,-0.367761,-0.529321,-30.328
101.762,11.123699,-0.371996,-0.532469,-30.508
101.786,11.129137,-0.376295,-0.535862,-30.703
101.803,11.134805,-0.380548,-0.538813,-30.872
101.823,11.140512,-0.384971,-0.542076,-31.059
101.844,11.146381,-0.389537,-0.545586,-31.260
101.862,11.152252,-0.394154,-0.549128,-31.463
101.883,11.158330,-0.398714,-0.552524,-31.657
101.904,11.164302,-0.403522,-0.555945,-31.853
101.926,11.170466,-0.408477,-0.559415,-32.052
101.943,11.176515,-0.413387,-0.562971,-32.256
101.965,11.182616,-0.418270,-0.566735,-32.472
101.987,11.188689,-0.423125,-0.570565,-32.691
102.005,11.194686,-0.428120,-0.574170,-32.898
102.028,11.200708,-0.432913,-0.577684,-33.099
102.051,11.206563,-0.437683,-0.580485,-33.259
102.069,11.212435,-0.442371,-0.583696,-33.443
102.090,11.218099,-0.447233,-0.586690,-33.615
102.113,11.223770,-0.451857,-0.589910,-33.799
102.132,11.229309,-0.456386,-0.593304,-33.994
102.163,11.234719,-0.460959,-0.596744,-34.191
102.182,11.240147,-0.465561,-0.600191,-34.388
102.201,11.245369,-0.469999,-0.603444,-34.575
102.223,11.250493,-0.474427,-0.606962,-34.776
102.241,11.255595,-0.478857,-0.610250,-34.965
102.259,11.260588,-0.483051,-0.613246,-35.136
102.278,11.265456,-0.487330,-0.616826,-35.342
102.296,11.270241,-0.491658,-0.620038,-35.526
102.317,11.275060,-0.495647,-0.622946,-35.692
102.335,11.279742,-0.499838,-0.625952,-35.864
102.358,11.284370,-0.503965,-0.628513,-36.011
102.377,11.288866,-0.507852,-0.631235,-36.167
102.398,11.293248,-0.511982,-0.634001,-36.326
102.418,11.297643,-0.515836,-0.636569,-36.473
102.438,11.301886,-0.519593,-0.639160,-36.621
102.458,11.306007,-0.523517,-0.642288,-36.800
102.478,11.310085,-0.527194,-0.645170,-36.966
102.501,11.314121,-0.530767,-0.647845,-37.119
102.521,11.318024,-0.534516,-0.650729,-37.284
102.545,11.321875,-0.538054,-0.653464,-37.441
102.568,11.325624,-0.541657,-0.656259,-37.601
102.589,11.329368,-0.545235,-0.659054,-37.761
102.610,11.333027,-0.548671,-0.661783,-37.917
102.630,11.336601,-0.552217,-0.664517,-38.074
102.652,11.340154,-0.555605,-0.666999,-38.216
102.670,11.343685,-0.558945,-0.669334,-38.350
102.692,11.347088,-0.562360,-0.671560,-38.478
102.708,11.350535,-0.565637,-0.673844,-38.608
102.729,11.353913,-0.568948,-0.676014,-38.733
102.747,11.357203,-0.572145,-0.678371,-38.868
102.768,11.360368,-0.575585,-0.681180,-39.029
102.790,11.363629,-0.578791,-0.683361,-39.154
102.811,11.366847,-0.581899,-0.685351,-39.268
102.828,11.369964,-0.585085,-0.687541,-39.393
102.850,11.373080,-0.588240,-0.689827,-39.524
102.867,11.376180,-0.591392,-0.691979,-39.647
102.890,11.379228,-0.594340,-0.693920,-39.759
102.914,11.382201,-0.597426,-0.695881,-39.871
102.931,11.385174,-0.600450,-0.698091,-39.998
102.955,11.388148,-0.603438,-0.700117,-40.114
102.972,11.391051,-0.606362,-0.702000,-40.222
102.994,11.393911,-0.609221,-0.703584,-40.312
103.017,11.396652,-0.612216,-0.705655,-40.431
103.035,11.399412,-0.614963,-0.707610,-40.543
103.057,11.402086,-0.617796,-0.709324,-40.641
103.076,11.404745,-0.620562,-0.711148,-40.746
103.096,11.407313,-0.623328,-0.713217,-40.864
103.120,11.409898,-0.626128,-0.715119,-40.973
103.137,11.412460,-0.628831,-0.717142,-41.089
103.161,11.414936,-0.631686,-0.719267,-41.211
103.181,11.417428,-0.634358,-0.721029,-41.312
103.198,11.419918,-0.637108,-0.722795,-41.413
103.223,11.422420,-0.639707,-0.724646,-41.519
103.241,11.424865,-0.642434,-0.726817,-41.644
103.262,11.427260,-0.645109,-0.728742,-41.754
103.287,11.429700,-0.647600,-0.730059,-41.829
103.303,11.432006,-0.650202,-0.731728,-41.925
103.325,11.434237,-0.652866,-0.734208,-42.067
103.346,11.436690,-0.655388,-0.735494,-42.141
103.361,11.438956,-0.657787,-0.737019,-42.228
103.385,11.441029,-0.660332,-0.739028,-42.343
103.402,11.443337,-0.662591,-0.739798,-42.387
103.426,11.445769,-0.664646,-0.739496,-42.370
103.442,11.447925,-0.666888,-0.740622,-42.435
103.466,11.449801,-0.669269,-0.742640,-42.550
103.488,11.451671,-0.671646,-0.744611,-42.663
103.507,11.453607,-0.673805,-0.746325,-42.761
103.528,11.455821,-0.675491,-0.745408,-42.709
103.551,11.457971,-0.677139,-0.744584,-42.662
103.566,11.459774,-0.679032,-0.745259,-42.700
103.587,11.461309,-0.680957,-0.746985,-42.799
103.605,11.462679,-0.682669,-0.748468,-42.884
103.629,11.463923,-0.684009,-0.749510,-42.944
103.647,11.464968,-0.685464,-0.750931,-43.025
103.667,11.466037,-0.686906,-0.752446,-43.112
103.689,11.466857,-0.688521,-0.755189,-43.269
103.706,11.467828,-0.689507,-0.755615,-43.294
103.728,11.468854,-0.690093,-0.754319,-43.219
103.754,11.469770,-0.690588,-0.753185,-43.154
103.770,11.470300,-0.691346,-0.754104,-43.207
103.793,11.470897,-0.692153,-0.754851,-43.250
103.812,11.471487,-0.692699,-0.754941,-43.255
103.833,11.471812,-0.693072,-0.755121,-43.265
103.853,11.471891,-0.693010,-0.755125,-43.265
103.872,11.471767,-0.692999,-0.755383,-43.280
103.893,11.471793,-0.692943,-0.755321,-43.277
103.910,11.471834,-0.692878,-0.755409,-43.282
103.928,11.471865,-0.692942,-0.755555,-43.290
103.952,11.471929,-0.692984,-0.755621,-43.294
103.970,11.471914,-0.692958,-0.755804,-43.304
103.992,11.471901,-0.692966,-0.755850,-43.307
104.015,11.471879,-0.692869,-0.755888,-43.309
104.036,11.471854,-0.692852,-0.755959,-43.313
104.061,11.471878,-0.692880,-0.755975,-43.314
104.085,11.471841,-0.692815,-0.756065,-43.319
104.103,11.471806,-0.692775,-0.756158,-43.325
104.122,11.471823,-0.692764,-0.756152,-43.324
104.144,11.471791,-0.692701,-0.756210,-43.328
104.169,11.471783,-0.692666,-0.756244,-43.330
104.187,11.471796,-0.692701,-0.756318,-43.334
104.211,11.471797,-0.692666,-0.756476,-43.343
104.230,11.471758,-0.692652,-0.756537,-43.346
104.250,11.471767,-0.692673,-0.756636,-43.352
104.270,11.471833,-0.692752,-0.756742,-43.358
104.288,11.471937,-0.692863,-0.756751,-43.359
104.313,11.472005,-0.692951,-0.756952,-43.370
104.331,11.472108,-0.693061,-0.756995,-43.373
104.349,11.472193,-0.693259,-0.757372,-43.394
104.369,11.472395,-0.693500,-0.757559,-43.405
104.388,11.472635,-0.693839,-0.757810,-43.419
104.413,11.472790,-0.694004,-0.757981,-43.429
104.437,11.472819,-0.694064,-0.758197,-43.441
104.460,11.472864,-0.694098,-0.758229,-43.443
104.478,11.472871,-0.694104,-0.758325,-43.449
104.504,11.472857,-0.694083,-0.758368,-43.451
104.522,11.472853,-0.694054,-0.758340,-43.450
104.542,11.472853,-0.694044,-0.758423,-43.454
104.565,11.472874,-0.694064,-0.758445,-43.456
104.588,11.472878,-0.694085,-0.758449,-43.456
104.604,11.472846,-0.694065,-0.758558,-43.462
104.629,11.472827,-0.694025,-0.758543,-43.461
104.657,11.472823,-0.694032,-0.758564,-43.463
104.677,11.472862,-0.694039,-0.758554,-43.462
104.699,11.472824,-0.694005,-0.758642,-43.467
104.721,11.472818,-0.693991,-0.758648,-43.467
104.741,11.472826,-0.694028,-0.758714,-43.471
104.762,11.472815,-0.694007,-0.758700,-43.470
104.784,11.472812,-0.694002,-0.758776,-43.475
104.803,11.472828,-0.694000,-0.758752,-43.473
104.824,11.472788,-0.693980,-0.758782,-43.475
104.851,11.472755,-0.693951,-0.758810,-43.477
104.871,11.472793,-0.693984,-0.758767,-43.474
104.894,11.472788,-0.693978,-0.758855,-43.479
104.915,11.472739,-0.693990,-0.758913,-43.482
104.939,11.472717,-0.693932,-0.758910,-43.482
104.960,11.472734,-0.693940,-0.758888,-43.481
104.979,11.472750,-0.693942,-0.758936,-43.484
105.000,11.472733,-0.693954,-0.758961,-43.485
105.020,11.472716,-0.693887,-0.758969,-43.486
105.041,11.472741,-0.693903,-0.758940,-43.484
105.063,11.472727,-0.693912,-0.759039,-43.490
105.081,11.472706,-0.693924,-0.759075,-43.492
105.101,11.472700,-0.693908,-0.759057,-43.491
105.119,11.472671,-0.693910,-0.759111,-43.494
105.140,11.472667,-0.693916,-0.759141,-43.496
105.158,11.472690,-0.693926,-0.759151,-43.496
105.180,11.472691,-0.693923,-0.759154,-43.496
105.205,11.472701,-0.693917,-0.759131,-43.495
105.219,11.472674,-0.693936,-0.759257,-43.502
105.240,11.472687,-0.693971,-0.759273,-43.503
105.261,11.472714,-0.693958,-0.759220,-43.500
105.281,11.472670,-0.693921,-0.759313,-43.505
105.300,11.472624,-0.693905,-0.759330,-43.506
105.319,11.472633,-0.693907,-0.759350,-43.508
105.343,11.472699,-0.693988,-0.759412,-43.511
105.364,11.472825,-0.694171,-0.759618,-43.523
105.389,11.473002,-0.694458,-0.759864,-43.537
105.406,11.473106,-0.694751,-0.760632,-43.581
105.426,11.473353,-0.695040,-0.760779,-43.589
105.445,11.473608,-0.695413,-0.761185,-43.613
105.469,11.473925,-0.695854,-0.761632,-43.638
105.489,11.474310,-0.696376,-0.762121,-43.666
105.510,11.474722,-0.696895,-0.762623,-43.695
105.528,11.475103,-0.697464,-0.763348,-43.737
105.549,11.475409,-0.697681,-0.763461,-43.743
105.576,11.475380,-0.697674,-0.763770,-43.761
105.594,11.475345,-0.697638,-0.763965,-43.772
105.615,11.475392,-0.697625,-0.764098,-43.780
105.637,11.475480,-0.697768,-0.764359,-43.795
105.660,11.475626,-0.697976,-0.764861,-43.823
105.677,11.475817,-0.698345,-0.765627,-43.867
105.695,11.476137,-0.698666,-0.766210,-43.901
105.714,11.476476,-0.699158,-0.767114,-43.952
105.737,11.476913,-0.699671,-0.767904,-43.998
105.754,11.477318,-0.700311,-0.768985,-44.060
105.777,11.477845,-0.701050,-0.769698,-44.100
105.794,11.478422,-0.701922,-0.770890,-44.169
105.818,11.478971,-0.702887,-0.772345,-44.252
105.841,11.479558,-0.703796,-0.773555,-44.321
105.858,11.479921,-0.704600,-0.774514,-44.376
105.878,11.480034,-0.705049,-0.775448,-44.430
105.901,11.479978,-0.705294,-0.776516,-44.491
105.922,11.480075,-0.705636,-0.777110,-44.525
105.944,11.480240,-0.705933,-0.777633,-44.555
105.968,11.480214,-0.705954,-0.777682,-44.558
105.983,11.480076,-0.705741,-0.777412,-44.542
106.003,11.479992,-0.705554,-0.777239,-44.533
106.021,11.479933,-0.705503,-0.777111,-44.525
106.042,11.479955,-0.705565,-0.777237,-44.532
106.064,11.480043,-0.705671,-0.777413,-44.542
106.087,11.480037,-0.705721,-0.777480,-44.546
106.111,11.480034,-0.705661,-0.777622,-44.554
106.128,11.480097,-0.705709,-0.777710,-44.559
106.149,11.480108,-0.705765,-0.777825,-44.566
106.170,11.480132,-0.705725,-0.777901,-44.570
106.193,11.480139,-0.705720,-0.777833,-44.567
106.215,11.480147,-0.705699,-0.777855,-44.568
106.232,11.480162,-0.705660,-0.777884,-44.569
106.252,11.480129,-0.705640,-0.777923,-44.572
106.272,11.480114,-0.705619,-0.777896,-44.570
106.298,11.480128,-0.705615,-0.778005,-44.576
106.321,11.480102,-0.705592,-0.778020,-44.577
106.345,11.480059,-0.705594,-0.778015,-44.577
106.366,11.480068,-0.705634,-0.778141,-44.584
106.389,11.480142,-0.705747,-0.778262,-44.591
106.408,11.480125,-0.705784,-0.778542,-44.607
106.429,11.480159,-0.705830,-0.778682,-44.615
106.452,11.480209,-0.705955,-0.778894,-44.627
106.469,11.480278,-0.705996,-0.779014,-44.634
106.491,11.480246,-0.706040,-0.779052,-44.636
106.512,11.480246,-0.706002,-0.779075,-44.638
106.534,11.480259,-0.706050,-0.779126,-44.641
106.553,11.480234,-0.706048,-0.779194,-44.645
106.570,11.480214,-0.706046,-0.779447,-44.659
106.590,11.480206,-0.706023,-0.779461,-44.660
106.610,11.480189,-0.706007,-0.779488,-44.661
106.632,11.480195,-0.706003,-0.779503,-44.662
106.651,11.480153,-0.705994,-0.779484,-44.661
106.670,11.480152,-0.706005,-0.779505,-44.662
106.692,11.480159,-0.705998,-0.779540,-44.664
106.712,11.480163,-0.705998,-0.779584,-44.667
106.732,11.480151,-0.705963,-0.779569,-44.666
106.755,11.480148,-0.705962,-0.779582,-44.667
106.779,11.480175,-0.705960,-0.779558,-44.665
106.794,11.480182,-0.705962,-0.779568,-44.666
106.816,11.480184,-0.705975,-0.779561,-44.666
106.838,11.480189,-0.705995,-0.779597,-44.668
106.867,11.480168,-0.705959,-0.779643,-44.670
106.886,11.480173,-0.705940,-0.779685,-44.673
106.907,11.480164,-0.705963,-0.779724,-44.675
106.928,11.480151,-0.705928,-0.779759,-44.677
106.953,11.480162,-0.705910,-0.779781,-44.678
106.974,11.480160,-0.705939,-0.779758,-44.677
106.995,11.480177,-0.705924,-0.779752,-44.677
107.016,11.480181,-0.705917,-0.779777,-44.678
107.036,11.480170,-0.705908,-0.779822,-44.681
